Item,gender,age,Education,monthly income,Working years,TQI1,TQI2,TQI3,TQI4,DII1,DII2,DII3,DII4,CEC1,CEC2,CEC3,CEC4,RD1,RD2,RD3,RD4,CSI1,CSI2,CSI3,CSI4,CBO1,CBO2,CBO3,CBO4,CBO5,CBO6,TQI,DI,CEC,RD,CSI,CBO
问卷225,1,2,3,3,2,6,6,5,5,6,6,5,5,6,6,5,5,5,6,6,6,5,5,5,5,6,6,6,5,5,6,5.50,5.50,5.50,5.75,5.00,5.67
问卷226,1,1,3,5,3,7,6,6,6,7,6,6,6,7,6,6,6,6,7,7,6,6,6,6,6,6,7,6,6,6,7,6.25,6.25,6.25,6.50,6.00,6.33
问卷227,1,3,3,2,2,5,4,2,3,5,4,2,3,5,4,2,3,3,5,5,4,2,3,2,3,4,5,4,2,3,5,3.50,3.50,3.50,4.25,2.50,3.83
问卷228,2,2,3,2,3,4,5,5,4,4,5,5,4,4,5,5,4,4,4,4,5,5,4,5,4,5,4,5,5,4,4,4.50,4.50,4.50,4.25,4.50,4.50
问卷229,2,3,2,2,3,7,6,7,7,7,6,7,7,7,6,7,7,7,7,7,6,7,7,7,7,6,7,6,7,7,7,6.75,6.75,6.75,6.75,7.00,6.67
问卷230,1,1,1,1,2,4,1,5,6,4,1,5,6,4,1,5,6,6,4,4,1,5,6,5,6,1,4,1,5,6,4,4.00,4.00,4.00,3.75,5.50,3.50
问卷231,1,3,1,2,3,6,7,7,7,6,7,7,7,6,7,7,7,7,6,6,7,7,7,7,7,7,6,7,7,7,6,6.75,6.75,6.75,6.50,7.00,6.67
问卷232,1,1,2,1,2,3,5,3,3,3,5,3,3,3,5,3,3,3,3,3,5,3,3,3,3,5,3,5,3,3,3,3.50,3.50,3.50,3.50,3.00,3.67
问卷233,2,2,2,2,3,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,4,5,5,5,4.75,4.75,4.75,4.75,5.00,4.67
问卷234,2,2,1,2,3,5,5,5,7,5,5,5,7,5,5,5,7,7,5,5,5,5,7,5,7,5,5,5,5,7,5,5.50,5.50,5.50,5.50,6.00,5.33
问卷235,2,1,2,2,2,5,4,6,5,5,4,6,5,5,4,6,5,5,5,5,4,6,5,6,5,4,5,4,6,5,5,5.00,5.00,5.00,4.75,5.50,4.83
问卷236,2,2,1,2,4,5,5,6,5,5,5,6,5,5,5,6,5,5,5,5,5,6,5,6,5,5,5,5,6,5,5,5.25,5.25,5.25,5.00,5.50,5.17
问卷237,1,3,1,1,2,4,4,5,6,4,4,5,6,4,4,5,6,6,4,4,4,5,6,5,6,4,4,4,5,6,4,4.75,4.75,4.75,4.50,5.50,4.50
问卷238,1,2,1,2,3,5,5,5,4,5,5,5,4,5,5,5,4,4,5,5,5,5,4,5,4,5,5,5,5,5,5,4.75,4.75,4.75,4.75,4.50,5.00
问卷239,1,1,1,2,4,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,7,5,5,4.75,4.75,4.75,5.00,4.50,5.33
问卷240,2,2,1,2,4,5,5,6,5,5,5,6,5,5,5,6,5,5,6,5,5,6,5,6,5,5,5,4,5,4,5,5.25,5.25,5.25,5.25,5.50,4.67
问卷241,2,3,1,2,3,3,3,6,5,3,3,6,5,3,3,6,5,5,6,3,3,6,5,6,5,3,4,3,4,3,3,4.25,4.25,4.25,4.25,5.50,3.33
问卷242,2,2,1,3,3,3,3,4,4,3,3,4,4,3,3,4,4,4,5,3,3,4,4,4,4,5,5,4,5,4,3,3.50,3.50,3.50,3.75,4.00,4.33
问卷243,2,2,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5.00,5.00,5.00,5.00,5.00,4.50
问卷244,2,1,2,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.25,5.00,5.00
问卷245,2,1,1,3,4,4,4,5,5,5,7,5,5,4,7,4,4,6,4,4,7,4,4,4,4,3,3,4,5,7,3,4.50,5.50,4.75,5.25,4.00,4.17
问卷246,1,2,1,5,3,5,4,5,5,5,7,5,4,6,6,3,4,5,3,6,6,3,4,3,4,7,4,4,5,6,5,4.75,5.25,4.75,5.00,3.50,5.17
问卷247,2,3,2,3,4,5,5,4,4,5,7,7,4,7,7,4,2,5,7,7,7,4,2,4,2,4,6,4,3,4,5,4.50,5.75,5.00,6.50,3.00,4.33
问卷248,2,2,2,4,4,5,4,3,3,5,6,4,4,4,6,4,5,3,4,4,6,4,5,4,5,7,7,3,4,6,5,3.75,4.75,4.75,4.25,4.50,5.33
问卷249,1,2,1,5,4,5,4,5,4,5,4,6,5,6,7,4,3,4,7,6,7,4,3,4,3,6,3,7,6,5,3,4.50,5.00,5.00,6.00,3.50,5.00
问卷250,2,2,1,4,3,5,5,5,4,5,6,6,4,4,6,3,4,6,5,4,6,3,4,3,4,4,7,4,7,5,4,4.75,5.25,4.25,5.25,3.50,5.17
问卷251,1,2,1,3,2,5,4,4,4,3,5,6,4,6,6,7,3,7,5,6,6,7,3,7,3,7,5,7,3,7,4,4.25,4.50,5.50,6.00,5.00,5.50
问卷252,1,1,1,5,3,5,4,4,2,3,4,6,7,6,5,4,4,3,7,6,5,4,4,4,4,5,4,5,7,4,6,3.75,5.00,4.75,5.25,4.00,5.17
问卷253,1,2,1,4,4,3,5,4,5,4,2,5,4,5,4,7,4,7,4,5,4,7,4,7,4,5,7,5,4,6,5,4.25,3.75,5.00,5.00,5.50,5.33
问卷254,1,3,1,2,2,3,5,5,4,4,5,6,7,4,5,5,4,4,7,4,5,5,4,5,4,7,7,7,3,7,3,4.25,5.50,4.50,5.00,4.50,5.67
问卷255,2,2,1,2,3,4,3,5,3,5,3,7,3,5,3,5,3,3,7,5,3,5,3,5,3,4,7,7,5,6,4,3.75,4.50,4.00,4.50,4.00,5.50
问卷256,1,1,1,2,4,4,4,5,5,5,4,4,7,3,4,7,4,5,7,3,4,7,4,7,4,7,6,4,5,4,6,4.50,5.00,4.50,4.75,5.50,5.33
问卷257,2,2,1,1,4,5,5,5,4,5,3,6,6,4,4,7,7,5,6,4,4,7,7,7,7,7,4,7,7,7,7,4.75,5.00,5.50,4.75,7.00,6.50
问卷258,2,3,2,2,3,5,5,5,4,5,4,7,4,4,3,7,7,7,4,4,3,7,7,7,7,7,6,7,6,5,7,4.75,5.00,5.25,4.50,7.00,6.33
问卷259,1,1,1,1,2,5,4,5,3,5,4,4,6,3,7,7,5,6,6,3,7,7,5,7,5,6,4,7,7,5,3,4.25,4.75,5.50,5.50,6.00,5.33
问卷260,2,2,2,2,4,5,5,3,4,4,4,6,5,7,4,4,4,7,5,7,4,4,4,4,4,4,2,6,4,7,5,4.25,4.75,4.75,5.75,4.00,4.67
问卷261,1,3,1,2,3,5,4,4,4,4,3,6,5,4,7,7,7,4,5,4,7,7,7,7,7,6,5,4,7,6,7,4.25,4.50,6.25,5.00,7.00,5.83
问卷262,1,1,2,1,2,4,3,5,5,4,7,4,3,7,4,5,6,5,7,7,4,5,6,5,6,5,3,6,5,7,3,4.25,4.50,5.50,5.75,5.50,4.83
问卷263,2,2,2,2,3,4,5,5,5,4,4,5,4,4,7,5,4,2,4,4,7,5,4,5,4,4,4,5,5,6,5,4.75,4.25,5.00,4.25,4.50,4.83
问卷264,2,1,2,5,4,4,4,5,5,4,7,5,6,7,7,7,4,5,6,7,7,7,4,7,4,2,6,7,7,7,5,4.50,5.50,6.25,6.25,5.50,5.67
问卷265,2,2,1,2,4,4,4,4,3,4,5,3,7,7,7,4,2,3,7,7,7,4,2,4,2,5,7,6,7,6,5,3.75,4.75,5.00,6.00,3.00,6.00
问卷266,1,3,2,2,4,4,4,4,3,2,5,3,3,7,6,7,5,4,6,7,6,7,5,7,5,3,3,7,7,4,3,3.75,3.25,6.25,5.75,6.00,4.50
问卷267,2,2,1,2,3,4,4,4,3,5,7,5,7,6,6,7,3,6,7,6,6,7,3,7,3,4,7,5,7,6,4,3.75,6.00,5.50,6.25,5.00,5.50
问卷268,2,1,2,2,2,2,5,4,3,5,4,5,4,7,6,7,4,5,4,7,6,7,4,7,4,3,5,5,6,5,4,3.50,4.50,6.00,5.50,5.50,4.67
问卷269,2,2,1,2,4,5,3,3,5,3,7,4,3,4,5,6,3,3,7,4,5,6,3,6,3,4,5,7,4,5,6,4.00,4.25,4.50,4.75,4.50,5.17
问卷270,1,3,1,1,2,5,5,5,5,4,7,3,5,7,4,4,4,4,5,7,4,4,4,4,4,4,7,4,6,7,5,5.00,4.75,4.75,5.00,4.00,5.50
问卷271,1,2,1,2,3,3,4,5,4,3,7,4,5,7,5,6,4,7,5,7,5,6,4,6,4,4,6,7,5,4,3,4.00,4.75,5.50,6.00,5.00,4.83
问卷272,1,1,1,2,4,4,4,4,3,4,6,4,7,7,3,4,4,4,7,7,3,4,4,4,4,3,7,6,5,6,4,3.75,5.25,4.50,5.25,4.00,5.17
问卷273,2,2,1,2,4,3,4,4,4,4,4,4,6,6,4,2,3,3,6,6,4,2,3,2,3,7,4,6,7,6,6,3.75,4.50,3.75,4.75,2.50,6.00
问卷274,2,3,1,2,3,4,5,4,4,4,6,5,7,4,4,5,4,5,7,4,4,5,4,5,4,4,6,5,4,4,7,4.25,5.50,4.25,5.00,4.50,5.00
问卷275,2,2,3,3,3,4,5,5,4,3,5,5,4,4,3,3,7,5,6,4,3,3,7,3,7,7,6,4,6,6,7,4.50,4.25,4.25,4.50,5.00,6.00
问卷276,2,2,3,4,4,4,5,5,2,6,7,3,5,5,7,4,6,7,7,5,7,4,6,4,6,3,4,5,7,5,3,4.00,5.25,5.50,6.50,5.00,4.50
问卷277,2,1,2,5,3,3,5,5,5,6,7,3,2,6,4,3,5,6,6,6,4,3,5,3,5,4,6,3,6,5,5,4.50,4.50,4.50,5.50,4.00,4.83
问卷278,1,1,2,2,3,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,3.75,3.75,3.75,4.00,3.50,3.83
问卷279,2,1,2,2,2,6,4,4,4,6,4,4,4,6,4,4,4,4,6,6,4,4,4,4,4,4,6,4,4,4,6,4.50,4.50,4.50,5.00,4.00,4.67
问卷280,1,4,3,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00,5.00,5.00
问卷281,1,2,4,2,3,3,5,4,5,3,5,4,5,3,5,4,5,5,3,3,5,4,5,4,5,5,3,5,4,5,3,4.25,4.25,4.25,4.00,4.50,4.17
问卷282,1,2,1,1,3,5,7,7,7,5,7,7,7,5,7,7,7,7,5,5,7,7,7,7,7,7,5,7,7,7,5,6.50,6.50,6.50,6.00,7.00,6.33
问卷283,2,2,2,5,3,6,4,4,4,6,4,4,4,6,4,4,4,4,6,6,4,4,4,4,4,4,6,4,4,4,6,4.50,4.50,4.50,5.00,4.00,4.67
问卷284,2,1,2,4,4,5,4,4,4,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,4.25,4.25,4.25,4.50,4.00,4.33
问卷285,2,2,2,1,4,6,4,4,4,6,4,4,4,6,4,4,4,4,6,6,4,4,4,4,4,4,6,4,4,4,6,4.50,4.50,4.50,5.00,4.00,4.67
问卷286,1,3,2,2,3,4,5,5,4,4,5,5,4,4,5,5,4,4,4,4,5,5,4,5,4,5,4,5,5,4,4,4.50,4.50,4.50,4.25,4.50,4.50
问卷287,2,4,4,2,4,6,7,6,6,6,7,6,6,6,7,6,6,6,6,6,7,6,6,6,6,7,6,7,6,6,6,6.25,6.25,6.25,6.25,6.00,6.33
问卷288,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.00,4.00,4.00,4.00,4.00,4.00
问卷289,1,1,1,4,2,4,4,5,5,4,4,5,5,4,4,5,5,5,4,4,4,5,5,5,5,4,4,4,5,5,4,4.50,4.50,4.50,4.25,5.00,4.33
问卷290,1,1,2,3,4,7,7,6,5,7,7,6,5,7,7,6,5,5,7,7,7,6,5,6,5,7,7,7,6,5,7,6.25,6.25,6.25,6.50,5.50,6.50
问卷291,2,1,1,3,4,7,4,4,4,7,4,4,4,7,4,4,4,4,7,7,4,4,4,4,4,4,7,4,4,4,7,4.75,4.75,4.75,5.50,4.00,5.00
问卷292,1,2,1,5,3,4,4,4,6,4,4,4,6,4,4,4,6,6,4,4,4,4,6,4,6,4,4,4,4,6,4,4.50,4.50,4.50,4.50,5.00,4.33
问卷293,2,3,2,3,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3.75,3.75,3.75,3.75,4.00,3.67
问卷294,2,2,2,4,4,7,6,6,6,7,6,6,6,7,6,6,6,6,7,7,6,6,6,6,6,6,7,6,6,6,7,6.25,6.25,6.25,6.50,6.00,6.33
问卷295,2,2,3,4,3,3,4,4,4,3,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,3.75,3.75,3.75,3.50,4.00,3.67
问卷296,1,2,3,3,2,6,6,5,5,6,6,5,5,6,6,5,5,5,6,6,6,5,5,5,5,6,6,6,5,5,6,5.50,5.50,5.50,5.75,5.00,5.67
问卷297,1,1,1,5,3,7,6,6,6,7,6,6,6,7,6,6,6,6,7,7,6,6,6,6,6,6,7,6,6,6,7,6.25,6.25,6.25,6.50,6.00,6.33
问卷298,1,3,1,2,2,5,4,2,3,5,4,2,3,5,4,2,3,3,5,5,4,2,3,2,3,4,5,4,2,3,5,3.50,3.50,3.50,4.25,2.50,3.83
问卷299,2,2,1,2,3,4,5,5,4,4,5,5,4,4,5,5,4,4,4,4,5,5,4,5,4,5,4,5,5,4,4,4.50,4.50,4.50,4.25,4.50,4.50
问卷300,2,3,2,2,3,7,6,7,7,7,6,7,7,7,6,7,7,7,7,7,6,7,7,7,7,6,7,6,7,7,7,6.75,6.75,6.75,6.75,7.00,6.67
问卷301,1,1,1,1,2,4,1,5,6,4,1,5,6,4,1,5,6,6,4,4,1,5,6,5,6,1,4,1,5,6,4,4.00,4.00,4.00,3.75,5.50,3.50
问卷302,1,3,1,2,3,6,7,7,7,6,7,7,7,6,7,7,7,7,6,6,7,7,7,7,7,7,6,7,7,7,6,6.75,6.75,6.75,6.50,7.00,6.67
问卷303,1,1,2,1,2,3,5,3,3,3,5,3,3,3,5,3,3,3,3,3,5,3,3,3,3,5,3,5,3,3,3,3.50,3.50,3.50,3.50,3.00,3.67
问卷304,2,2,2,2,3,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,4,5,5,5,4.75,4.75,4.75,4.75,5.00,4.67
问卷305,2,2,1,2,3,5,5,5,7,5,5,5,7,5,5,5,7,7,5,5,5,5,7,5,7,5,5,5,5,7,5,5.50,5.50,5.50,5.50,6.00,5.33
问卷306,2,1,2,2,2,5,4,6,5,5,4,6,5,5,4,6,5,5,5,5,4,6,5,6,5,4,5,4,6,5,5,5.00,5.00,5.00,4.75,5.50,4.83
问卷307,2,2,1,2,4,5,5,6,5,5,5,6,5,5,5,6,5,5,5,5,5,6,5,6,5,5,5,5,6,5,5,5.25,5.25,5.25,5.00,5.50,5.17
问卷308,1,3,1,1,2,4,4,5,6,4,4,5,6,4,4,5,6,6,4,4,4,5,6,5,6,4,4,4,5,6,4,4.75,4.75,4.75,4.50,5.50,4.50
问卷309,1,2,1,2,3,5,5,5,4,5,5,5,4,5,5,5,4,4,5,5,5,5,4,5,4,5,5,5,5,5,5,4.75,4.75,4.75,4.75,4.50,5.00
问卷310,1,1,1,2,4,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,7,5,5,4.75,4.75,4.75,5.00,4.50,5.33
问卷311,2,2,1,2,4,5,5,6,5,5,5,6,5,5,5,6,5,5,6,5,5,6,5,6,5,5,5,4,5,4,5,5.25,5.25,5.25,5.25,5.50,4.67
问卷312,2,3,1,2,3,3,3,6,5,3,3,6,5,3,3,6,5,5,6,3,3,6,5,6,5,3,4,3,4,3,3,4.25,4.25,4.25,4.25,5.50,3.33
问卷313,2,2,1,3,3,3,3,4,4,3,3,4,4,3,3,4,4,4,5,3,3,4,4,4,4,5,5,4,5,4,3,3.50,3.50,3.50,3.75,4.00,4.33
问卷314,2,2,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5.00,5.00,5.00,5.00,5.00,4.50
问卷315,2,1,2,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.25,5.00,5.00
问卷316,2,1,1,3,4,4,4,5,5,5,7,5,5,4,7,4,4,6,4,4,7,4,4,4,4,3,3,4,5,7,3,4.50,5.50,4.75,5.25,4.00,4.17
问卷317,1,2,1,5,3,5,4,5,5,5,7,5,4,6,6,3,4,5,3,6,6,3,4,3,4,7,4,4,5,6,5,4.75,5.25,4.75,5.00,3.50,5.17
问卷318,2,3,2,3,4,5,5,4,4,5,7,7,4,7,7,4,2,5,7,7,7,4,2,4,2,4,6,4,3,4,5,4.50,5.75,5.00,6.50,3.00,4.33
问卷319,2,2,2,4,4,5,4,3,3,5,6,4,4,4,6,4,5,3,4,4,6,4,5,4,5,7,7,3,4,6,5,3.75,4.75,4.75,4.25,4.50,5.33
问卷320,1,2,1,5,4,5,4,5,4,5,4,6,5,6,7,4,3,4,7,6,7,4,3,4,3,7,3,7,6,5,3,4.50,5.00,5.00,6.00,3.50,5.17
问卷321,2,2,1,4,3,5,5,5,4,5,6,6,4,4,6,3,4,6,5,4,6,3,4,3,4,4,7,4,7,5,4,4.75,5.25,4.25,5.25,3.50,5.17
问卷322,1,2,1,3,2,5,4,4,4,3,5,6,4,6,6,7,3,7,5,6,6,7,3,7,3,7,5,7,3,7,4,4.25,4.50,5.50,6.00,5.00,5.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
