Item,gender,age,Education,monthly income,Working years,TQI1,TQI2,TQI3,TQI4,DII1,DII2,DII3,DII4,CEC1,CEC2,CEC3,CEC4,RD1,RD2,RD3,RD4,CSI1,CSI2,CSI3,CSI4,CBO1,CBO2,CBO3,CBO4,CBO5,CBO6,TQI,DI,CEC,RD,CSI,CBO
问卷121,2,2,2,2,2,5,4,5,5,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,4.75,4.25,4.25,4.50,4.00,4.33
问卷122,2,4,2,1,2,6,4,5,5,3,6,6,4,3,6,6,4,4,3,3,6,6,4,6,4,6,3,6,6,4,3,5.00,4.75,4.75,4.00,5.00,4.67
问卷123,1,4,3,1,3,4,4,4,4,6,5,5,4,6,5,5,4,4,6,6,5,5,4,5,4,5,6,5,5,4,6,4.00,5.00,5.00,5.25,4.50,5.17
问卷124,1,1,1,3,3,6,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5.00,4.00,4.00,4.00,4.00,4.00
问卷125,2,2,3,3,3,4,4,4,4,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,4,5,5,5,4.00,4.75,4.75,4.75,5.00,4.67
问卷126,2,2,2,4,3,4,5,5,5,3,5,7,7,3,5,7,7,7,3,3,5,7,7,7,7,5,3,5,7,7,3,4.75,5.50,5.50,4.50,7.00,5.00
问卷127,2,4,2,3,3,6,6,6,6,6,4,4,4,6,4,4,4,4,6,6,4,4,4,4,4,4,6,4,4,4,6,6.00,4.50,4.50,5.00,4.00,4.67
问卷128,2,2,2,4,3,6,6,6,6,5,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6,6,5,6,6,6,5,6.00,5.75,5.75,5.50,6.00,5.67
问卷129,1,1,2,4,2,6,4,5,5,3,6,4,4,3,6,4,4,4,3,3,6,4,4,4,4,6,3,6,4,4,3,5.00,4.25,4.25,4.00,4.00,4.33
问卷130,2,1,3,3,2,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.25,5.00,5.00,5.00,5.00,5.00
问卷131,2,2,3,4,2,2,5,5,5,5,5,5,6,5,5,5,6,6,5,5,5,5,6,5,6,5,5,5,5,6,5,4.25,5.25,5.25,5.25,5.50,5.17
问卷132,2,2,3,4,3,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5.25,4.00,4.00,4.00,4.00,4.00
问卷133,1,2,1,3,3,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00,5.00,5.00
问卷134,2,1,2,4,2,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.00,6.00,6.00,6.00,6.00,6.00
问卷135,1,2,2,3,3,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.75,6.00,6.00,6.00,6.00,6.00
问卷136,1,1,2,4,3,6,6,6,6,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,6.00,4.25,4.25,4.50,4.00,4.33
问卷137,1,1,2,2,3,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6.00,4.00,4.00,4.00,4.00,4.00
问卷138,1,1,2,2,5,6,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.00,6.00,6.00,6.00,6.00,6.00
问卷139,2,1,2,1,5,6,4,5,5,6,4,5,5,6,4,5,5,5,6,6,4,5,5,5,5,4,6,4,5,5,6,5.00,5.00,5.00,5.25,5.00,5.00
问卷140,2,2,2,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.00,4.00,4.00,4.00,4.00,4.00
问卷141,1,2,2,2,2,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,4,4.75,4.75,4.75,4.50,5.00,4.67
问卷142,1,1,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.00,6.00,6.00,6.00,6.00,6.00
问卷143,2,2,1,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.00,6.00,6.00,6.00,6.00,6.00
