Year,Consumer Price Index,Belt and Road Initiative,GDP Growth Rate,Unemployment Rate,Broad Money Growth Rate,Per Capita GNI Growth Rate,Belt and Road Initiative Country,Country
2010,100,0,2.238688634,7.787,3.990035844,7.787,0,17
2011,103.8561124,0,1.145101541,8.038,-4.418049589,8.038,0,17
2012,106.5285741,0,1.512936749,7.885,0.76994028,7.885,0,17
2013,108.9698539,1,1.792322216,7.525,2.102305807,7.525,0,17
2014,110.5511374,1,3.195782466,6.11,-2.534401765,6.11,0,17
2015,110.9580174,1,2.220258322,5.301,1.97421476,5.301,0,17
2016,112.0769373,1,1.921063414,4.81,8.716838179,4.81,0,17
2017,114.9435916,1,2.655069668,4.33,8.296331613,4.33,0,17
2018,117.5790642,1,1.403792086,3.996,5.299826049,3.996,0,17
2019,119.6227113,1,1.641610996,3.737,-1.364158119,3.737,0,17
2020,120.8063621,1,-10.35990082,4.472,9.706440177,4.472,0,17
2021,123.8487146,1,8.674904114,4.826,9.732729491,4.826,0,17
2022,133.6600703,1,4.345228834,3.73,8.607499574,3.73,0,17
2023,142.7408914,1,0.104017849,4.055,-2.634766071,4.055,0,17
1995,80.4817043,0,1.544146496,8.158,3.781012633,8.158,0,18
1996,81.64846931,0,0.805822891,8.822,6.909678097,8.822,0,18
1997,83.23193685,0,1.792160821,9.861,1.442122931,9.861,0,18
1998,83.99033256,0,2.013932785,9.787,15.47096936,9.787,0,18
1999,84.48203974,0,1.887261154,8.854,1.700080266,8.854,0,18
2000,85.69880785,0,2.912502964,7.917,8.663346652,7.917,0,18
2001,87.39894991,0,1.681468481,7.773,16.46697533,7.773,0,18
2002,88.64071957,0,-0.197973835,8.482,7.42563374,8.482,0,18
2003,89.55746156,0,-0.700116686,9.779,2.147173702,9.779,0,18
2004,91.04925331,0,1.175088132,10.727,6.849751402,10.727,0,18
2005,92.45770436,0,0.731707164,11.167,10.52437522,11.167,0,18
2006,93.91615662,0,3.816441913,10.25,6.776717821,10.25,0,18
2007,96.07467298,0,2.976455131,8.658,18.10305975,8.658,0,18
2008,98.59988029,0,0.959879134,7.525,3.086764139,7.525,0,18
2009,98.90824058,0,-5.693836336,7.742,0.898645662,7.742,0,18
2010,100,0,4.179882499,6.967,6.468924485,6.967,0,18
2011,102.0751728,0,3.925192705,5.825,6.421327163,5.825,0,18
2012,104.1253413,0,0.418497594,5.379,4.495563411,5.379,0,18
2013,105.6921396,1,0.437591303,5.231,6.749028262,5.231,0,18
2014,106.6505496,1,2.209543431,4.981,6.11306502,4.981,0,18
2015,107.1991879,1,1.491931528,4.624,-5.326428848,4.624,0,18
2016,107.7263367,1,2.229999868,4.122,11.23851964,4.122,0,18
2017,109.3524602,1,2.680231114,3.746,6.081948626,3.746,0,18
2018,111.2466294,1,0.981232606,3.384,5.182916894,3.384,0,18
2019,112.8548771,1,1.075471636,3.136,3.97349821,3.136,0,18
2020,113.0183789,1,-3.826768716,3.856,12.15877408,3.856,0,18
2021,116.4842759,1,3.163819942,3.638,10.50191849,3.638,0,18
2022,124.4897444,1,1.806208967,3.135,5.546702093,3.135,0,18
2023,131.8924482,1,-0.304934576,3.045,0.433210482,3.045,0,18
1995,79.46910908,0,2.106629158,11.834,35.6192231,11.834,0,19
1996,81.04488905,0,1.412993673,12.367,31.21652824,12.367,0,19
1997,82.02062327,0,2.336296529,12.566,29.05651653,12.566,0,19
1998,82.55468159,0,3.588659425,12.074,25.17693701,12.074,0,19
1999,82.99811716,0,3.421373799,11.981,19.58862675,11.981,0,19
2000,84.38913231,0,3.923669227,10.218,11.55692431,10.218,0,19
2001,85.76870964,0,1.983721419,8.61,14.61295537,8.61,0,19
2002,87.41839554,0,1.135531482,8.702,-1.997074566,8.702,0,19
2003,89.25284626,0,0.823160757,8.307,5.369490002,8.307,0,19
2004,91.16472224,0,2.829752929,8.914,3.787939136,8.914,0,19
2005,92.75633919,0,1.66321998,8.882,15.04322999,8.882,0,19
2006,94.31012335,0,2.449323601,8.833,15.96432861,8.833,0,19
2007,95.71345616,0,2.424736243,8.009,13.38884088,8.009,0,19
2008,98.40574355,0,0.25494596,7.386,18.62562853,7.386,0,19
2009,98.49196713,0,-2.873313828,9.122,8.105308977,9.122,0,19
2010,100,0,1.949437623,9.279,8.80524277,9.279,0,19
2011,102.111598,0,2.192700633,9.228,12.48647352,9.228,0,19
2012,104.107058,0,0.313134751,9.841,4.527973972,9.841,0,19
2013,105.0062468,1,0.576326675,9.913,6.239445547,9.913,0,19
2014,105.5394253,1,0.956183052,10.273,8.18416125,10.273,0,19
2015,105.5790178,1,1.112912341,10.354,9.062074488,10.354,0,19
2016,105.7725809,1,1.095464404,10.057,9.566168277,10.057,0,19
2017,106.864453,1,2.291419994,9.41,4.65390466,9.41,0,19
2018,108.8423164,1,1.865066071,9.018,9.164741851,9.018,0,19
2019,110.0485668,1,1.842971814,8.415,8.264049514,8.415,0,19
2020,110.5729469,1,-7.540459162,8.01,16.42930934,8.01,0,19
2021,112.3889211,1,6.435209621,7.874,8.91363802,7.874,0,19
2022,118.2582836,1,2.454758177,7.308,5.247237023,7.308,0,19
2023,124.0273452,1,0.703718547,7.323,8.538155756,7.323,0,19
1995,36.64031594,0,4.223793634,7.092,44.30215492,7.092,0,20
1996,42.4139744,0,2.20886405,8.035,31.03490423,8.035,0,20
1997,45.35186848,0,3.394845986,9.003,17.24332067,9.003,0,20
1998,46.80089527,0,0.338097901,10.15,12.01934813,10.15,0,20
1999,49.0746922,0,0.467937566,11.125,18.1153445,11.125,0,20
2000,52.53158274,0,4.387949447,10.892,19.70463724,10.892,0,20
2001,56.1249316,0,1.389896401,10.649,38.40780807,10.649,0,20
2002,60.86758058,0,3.053461859,10.641,6.143616107,10.641,0,20
2003,69.8241962,0,1.140828998,11.169,18.58424658,11.169,0,20
2004,74.43062767,0,5.759964637,10.072,13.56683041,10.072,0,20
2005,79.54366733,0,3.202132061,10.551,18.35230376,10.551,0,20
2006,82.87143085,0,3.961988711,9.692,16.75810284,9.692,0,20
2007,85.88900587,0,6.069870607,9.28,22.01997379,9.28,0,20
2008,90.76629373,0,5.094195447,8.268,17.88245818,8.268,0,20
2009,95.20298175,0,-0.125812002,9.419,15.69467992,9.419,0,20
2010,100,0,7.528225818,8.424,13.71888687,8.424,0,20
2011,106.6364496,0,3.974423079,7.578,16.5779268,7.578,0,20
2012,112.3985493,0,1.921175986,7.251,13.20689898,7.251,0,20
2013,119.3721044,1,3.004822669,7.071,10.13768984,7.071,0,20
2014,126.9272129,1,0.50395574,6.755,12.91188705,6.755,0,20
2015,138.3886146,1,-3.545763393,8.538,11.55896755,8.538,0,20
2016,150.4825942,1,-3.275916908,11.58,11.39080224,11.58,0,20
2017,155.6687862,1,1.322869054,12.792,4.190150913,12.792,0,20
2018,161.3738142,1,1.783666762,12.33,7.104205464,12.33,0,20
2019,167.3978603,1,1.220777824,11.936,8.136261479,11.936,0,20
2020,172.7742913,1,-3.276758796,13.697,17.02427159,13.697,0,20
2021,187.1174251,1,4.762604379,13.159,12.25920825,13.159,0,20
2022,204.4821206,1,3.016694354,9.231,13.27717587,9.231,0,20
2023,213.8751353,1,2.908480487,7.95,14.58202304,7.95,0,20
1995,43.38757074,0,3.100000001,19.799,16.03137115,19.799,0,21
1996,46.57834189,0,4.299999997,19.643,14.27893998,19.643,0,21
1997,50.58304647,0,2.600000001,19.679,17.81320821,19.679,0,21
1998,54.06343645,0,0.5,19.821,13.65295031,19.821,0,21
1999,56.86472951,0,2.399999997,19.926,10.90725175,19.926,0,21
2000,59.90070957,0,4.200000001,19.841,7.21505698,19.841,0,21
2001,63.31618824,0,2.7,19.725,20.18987632,19.725,0,21
2002,69.32787714,0,3.700374404,19.658,18.28619072,19.658,0,21
2003,73.26529688,0,2.949075468,19.728,13.35060168,19.728,0,21
2004,72.75827884,0,4.554559907,19.634,13.15299783,19.634,0,21
2005,74.25917021,0,5.277051973,19.557,20.6974499,19.557,0,21
2006,76.6680692,0,5.603806459,19.425,22.62300989,19.425,0,21
2007,81.40447442,0,5.360474054,19.39,23.9311377,19.39,0,21
2008,89.60562967,0,3.191043886,19.507,14.7382135,19.507,0,21
2009,96.07095734,0,-1.538089135,20.512,1.761085955,20.512,0,21
2010,100,0,3.039732881,23.181,6.934029883,23.181,0,21
2011,104.999267,0,3.168556279,21.416,8.341284534,21.416,0,21
2012,111.0101158,0,2.396232385,21.786,5.171730257,21.786,0,21
2013,117.4314617,1,2.485468008,22.038,5.916590728,22.038,0,21
2014,124.6298197,1,1.413826452,22.606,7.279487973,22.606,0,21
2015,130.288814,1,1.321862237,22.869,10.32364558,22.869,0,21
2016,138.8506084,1,0.664552308,24.023,6.079448927,24.023,0,21
2017,146.0489664,1,1.157946952,23.992,6.425536378,23.992,0,21
2018,152.6462396,1,1.556783847,24.218,5.599615663,24.218,0,21
2019,158.9356399,1,0.259935577,25.538,6.110245232,25.538,0,21
2020,164.0375312,1,-5.963358184,24.339,9.427326461,24.339,0,21
2021,171.6024043,1,4.703062065,28.77,5.709985199,28.77,0,21
2022,183.6827445,1,1.91040617,28.838,8.637725943,28.838,0,21
2023,194.8394664,1,0.601662303,27.988,7.593742777,27.988,0,21
1995,26.39411793,0,-5.910299624,7.095,31.85574352,7.095,0,21
1996,35.46798894,0,6.218297159,5.465,27.01118486,5.465,0,21
1997,42.78348465,0,7.198876153,4.235,56.84953317,4.235,0,21
1998,49.59820709,0,6.185078931,3.733,17.44889536,3.733,0,21
1999,57.82437574,0,2.755030393,2.598,18.74792479,2.598,0,21
2000,63.31281192,0,5.029283994,2.646,-4.487430895,2.646,0,21
2001,67.34440594,0,-0.450845253,2.627,18.84413571,2.627,0,21
2002,70.73231938,0,-0.236588002,3.003,5.071610438,3.003,0,21
2003,73.94844729,0,1.185544867,3.455,9.342885395,3.455,0,21
2004,77.41545284,0,3.565441009,3.937,13.04610643,3.937,0,21
2005,80.50282534,0,2.113247126,3.558,9.968495525,3.558,0,21
2006,83.42464932,0,4.805013527,3.566,6.69259611,3.566,0,21
2007,86.73397923,0,2.077863934,3.628,10.14778437,3.628,0,21
2008,91.1790807,0,0.943331863,3.874,8.898940673,3.874,0,21
2009,96.00916106,0,-6.295250558,5.356,11.52443575,5.356,0,21
2010,100,0,4.971334583,5.303,12.76380386,5.303,0,21
2011,103.4073782,0,3.444045058,5.175,9.978575656,5.175,0,21
2012,107.6589827,0,3.55321076,4.892,10.08395064,4.892,0,21
2013,111.7569043,1,0.852101559,4.921,8.27958287,4.921,0,21
2014,116.2479852,1,2.503763503,4.819,12.19263795,4.819,0,21
2015,119.4106751,1,2.702323426,4.311,12.18890483,4.311,0,21
2016,122.7800955,1,1.772493238,3.853,12.3347319,3.853,0,21
2017,130.1978025,1,1.871728533,3.419,11.2247048,3.419,0,21
2018,136.5766487,1,1.972082094,3.275,4.528957051,3.275,0,21
2019,141.542523,1,-0.251335755,3.477,4.700053589,3.477,0,21
2020,146.3504877,1,-8.624555731,4.441,13.44001459,4.441,0,21
2021,154.6766721,1,5.739208338,4.019,9.507690063,4.019,0,21
2022,166.8903693,1,3.948999999,3.256,7.324278335,3.256,0,21
2023,176.1160036,1,3.228736756,2.812,11.01773619,2.812,0,21
